100000000A,國民大會
376506521E,嘉義縣梅山鄉立圖書館
376506580J,嘉義縣梅山鄉立托兒所
376506600A,嘉義縣番路鄉公所
376506680J,嘉義縣番路鄉立托兒所
376506700A,嘉義縣大埔鄉公所
376506900A,嘉義縣阿里山鄉公所
376506911I,嘉義縣阿里山鄉清潔隊
376506921E,嘉義縣阿里山鄉立圖書館
376506980J,嘉義縣阿里山鄉立托兒所
376507000A,嘉義縣太保市公所
376507011I,嘉義縣太保市清潔隊
376507100A,嘉義縣朴子市公所
376507107A,嘉義縣朴子市第一公有零售市場
376507108A,嘉義縣朴子市第二公有零售市場
376507111I,嘉義縣朴子市清潔隊
376507122E,嘉義縣朴子市金臻圖書館
376507151J,嘉義縣朴子市立殯儀館
376507180J,嘉義縣朴子市立托兒所
376510102D,臺南縣稅捐稽徵處佳里徵收所
376520302I,高雄縣立慢性病防治所
376520367I,高雄縣三民鄉衛生所
376521528A,高雄縣三民鄉戶政事務所
376522800A,高雄縣政府原住民局
376525105A,高雄縣鳳山市第一公有零售市場
376525106A,高雄縣鳳山市第二公有零售市場
376525121E,高雄縣鳳山市立圖書館
376525122E,高雄縣鳳山市立第二圖書館
376525191G,高雄縣鳳山市公園路燈管理所
376530000A,屏東縣政府
376530302I,屏東縣立慢性病防治所
376530303I,屏東縣政府衛生局
376530306I,屏東縣政府環境保護局
376530307I,屏東縣長期照護管理中心
376530341I,屏東縣屏東市衛生所
376530342I,屏東縣潮州鎮衛生所
376530343I,屏東縣東港鎮衛生所
376530344I,屏東縣恆春鎮衛生所
376530345I,屏東縣萬丹鄉衛生所
376530346I,屏東縣長治鄉衛生所
376530347I,屏東縣麟洛鄉衛生所
376530348I,屏東縣九如鄉衛生所
376530349I,屏東縣里港鄉衛生所
376530350I,屏東縣鹽埔鄉衛生所
376530351I,屏東縣高樹鄉衛生所
376530352I,屏東縣萬巒鄉衛生所
376530353I,屏東縣內埔鄉衛生所
376530354I,屏東縣竹田鄉衛生所
376530355I,屏東縣新埤鄉衛生所
376530356I,屏東縣枋寮鄉衛生所
376530357I,屏東縣新園鄉衛生所
376530358I,屏東縣崁頂鄉衛生所
376530359I,屏東縣林邊鄉衛生所
376530360I,屏東縣南州鄉衛生所
376530361I,屏東縣佳冬鄉衛生所
376530362I,屏東縣琉球鄉衛生所
376530363I,屏東縣車城鄉衛生所
376530364I,屏東縣滿州鄉衛生所
376530365I,屏東縣枋山鄉衛生所
376530367I,屏東縣霧臺鄉衛生所
376530368I,屏東縣瑪家鄉衛生所
376530369I,屏東縣泰武鄉衛生所
376530370I,屏東縣來義鄉衛生所
376530371I,屏東縣春日鄉衛生所
376530372I,屏東縣獅子鄉衛生所
376530373I,屏東縣牡丹鄉衛生所
376530374I,屏東縣三地門鄉衛生所
376530400A,屏東縣屏東地政事務所
376530500A,屏東縣潮州地政事務所
376530600A,屏東縣東港地政事務所
376530700A,屏東縣恆春地政事務所
376530800A,屏東縣里港地政事務所
376530900A,屏東縣枋寮地政事務所
376531300D,屏東縣政府稅務局
376531501A,屏東縣屏東市戶政事務所
376531502A,屏東縣潮州鎮戶政事務所
376531504A,屏東縣恆春鎮戶政事務所
376531506A,屏東縣長治鄉戶政事務所
376531508A,屏東縣九如鄉戶政事務所
376531509A,屏東縣里港鄉戶政事務所
376531510A,屏東縣鹽埔鄉戶政事務所
376531511A,屏東縣高樹鄉戶政事務所
376531512A,屏東縣萬巒鄉戶政事務所
376531513A,屏東縣內埔鄉戶政事務所
376531515A,屏東縣新埤鄉戶政事務所
376531516A,屏東縣枋寮鄉戶政事務所
376531517A,屏東縣新園鄉戶政事務所
376531518A,屏東縣崁頂鄉戶政事務所
376531519A,屏東縣林邊鄉戶政事務所
376531520A,屏東縣南州鄉戶政事務所
376531521A,屏東縣佳冬鄉戶政事務所
376531522A,屏東縣琉球鄉戶政事務所
376531523A,屏東縣車城鄉戶政事務所
376531524A,屏東縣滿州鄉戶政事務所
376531525A,屏東縣枋山鄉戶政事務所
376531527A,屏東縣霧臺鄉戶政事務所
376531528A,屏東縣瑪家鄉戶政事務所
376531529A,屏東縣泰武鄉戶政事務所
376531530A,屏東縣來義鄉戶政事務所
376531531A,屏東縣春日鄉戶政事務所
376531532A,屏東縣獅子鄉戶政事務所
376531533A,屏東縣牡丹鄉戶政事務所
376531534A,屏東縣三地門鄉戶政事務所
376531535A,屏東縣東港戶政事務所
376531536A,屏東縣里港戶政事務所
376531537A,屏東縣萬丹戶政事務所
376531800C,屏東縣政府警察局
376531811C,屏東縣政府警察局屏東分局
376531812C,屏東縣政府警察局潮州分局
376531813C,屏東縣政府警察局東港分局
376531814C,屏東縣政府警察局恆春分局
376531815C,屏東縣政府警察局里港分局
376531816C,屏東縣政府警察局枋寮分局
376531817C,屏東縣政府警察局內埔分局
376531900C,屏東縣政府消防局
376532200I,屏東縣家畜疾病防治所
376532301E,屏東縣立體育場管理所
376535100A,屏東縣屏東市公所
376535110A,屏東縣屏東市公有零售市場
376535111I,屏東縣屏東市清潔隊
376535121E,屏東縣屏東市立復興圖書館
376535151J,屏東縣屏東市立殯儀館
376535200A,屏東縣潮州鎮公所
376535211I,屏東縣潮州鎮清潔隊
376535221E,屏東縣潮州鎮立圖書館
376535280J,屏東縣潮州鎮立托兒所
376535291G,屏東縣潮州鎮公園路燈管理所
376535300A,屏東縣東港鎮公所
376535305A,屏東縣東港鎮第一公有零售市場
376535306A,屏東縣東港鎮第二公有零售市場
376535311I,屏東縣東港鎮清潔隊
376535321E,屏東縣東港鎮立中正圖書館
376535400A,屏東縣恆春鎮公所
376535405A,屏東縣恆春鎮公有零售市場
376535411I,屏東縣恆春鎮清潔隊
376535421E,屏東縣恆春鎮立中山圖書館
376535500A,屏東縣萬丹鄉公所
376535505A,屏東縣萬丹鄉萬丹公有零售市場
376535511I,屏東縣萬丹鄉清潔隊
376535521E,屏東縣萬丹鄉立圖書館
376535591G,屏東縣萬丹鄉公園路燈管理所
376535600A,屏東縣長治鄉公所
376535621E,屏東縣長治鄉立中正圖書館
376535700A,屏東縣麟洛鄉公所
376535705A,屏東縣麟洛鄉麟洛公有零售市場
376535721E,屏東縣麟洛鄉立圖書館
376535780J,屏東縣麟洛鄉立托兒所
376535800A,屏東縣九如鄉公所
376535821E,屏東縣九如鄉立圖書館
376535900A,屏東縣里港鄉公所
376535921E,屏東縣里港鄉立中正圖書館
376535980J,屏東縣里港鄉立托兒所
376536000A,屏東縣鹽埔鄉公所
376536080J,屏東縣鹽埔鄉立托兒所
376536100A,屏東縣高樹鄉公所
376536121E,屏東縣高樹鄉立中正圖書館
376536180J,屏東縣高樹鄉立托兒所
376536200A,屏東縣萬巒鄉公所
376536205A,屏東縣萬巒鄉萬巒公有零售市場
376536221E,屏東縣萬巒鄉立中正圖書館
376536280J,屏東縣萬巒鄉立托兒所
376536300A,屏東縣內埔鄉公所
376536305A,屏東縣內埔鄉內埔公有零售市場
376536311I,屏東縣內埔鄉清潔隊
376536321E,屏東縣內埔鄉立中正圖書館
376536400A,屏東縣竹田鄉公所
376536480J,屏東縣竹田鄉立托兒所
376536500A,屏東縣新埤鄉公所
376536511I,屏東縣新埤鄉清潔隊
376536521E,屏東縣新埤鄉立中正圖書館
376536580J,屏東縣新埤鄉立托兒所
376536600A,屏東縣枋寮鄉公所
376536605A,屏東縣枋寮鄉水底寮公有零售市場
376536611I,屏東縣枋寮鄉清潔隊
376536621E,屏東縣枋寮鄉立圖書館
376536700A,屏東縣新園鄉公所
376536705A,屏東縣新園鄉仙吉公有零售市場
376536711I,屏東縣新園鄉清潔隊
376536800A,屏東縣崁頂鄉公所
376536811I,屏東縣崁頂鄉清潔隊
376536821E,屏東縣崁頂鄉立圖書館
376536880J,屏東縣崁頂鄉立托兒所
376536900A,屏東縣林邊鄉公所
376536906A,屏東縣林邊鄉市場管理所
376536911I,屏東縣林邊鄉清潔隊
376536921E,屏東縣林邊鄉立圖書館
376536980J,屏東縣林邊鄉立托兒所
376537000A,屏東縣南州鄉公所
376537005A,屏東縣南州鄉南州公有零售市場
376537021E,屏東縣南州鄉立圖書館
376537100A,屏東縣佳冬鄉公所
376537180J,屏東縣佳冬鄉立托兒所
376537200A,屏東縣琉球鄉公所
376537280J,屏東縣琉球鄉立托兒所
376537300A,屏東縣車城鄉公所
376537380J,屏東縣車城鄉立托兒所
376537400A,屏東縣滿州鄉公所
376537480J,屏東縣滿州鄉立托兒所
376537500A,屏東縣枋山鄉公所
376537511I,屏東縣枋山鄉清潔隊
376537580J,屏東縣枋山鄉立托兒所
376537700A,屏東縣霧臺鄉公所
376537721E,屏東縣霧臺鄉立中正圖書館
376537780J,屏東縣霧臺鄉立托兒所
376537800A,屏東縣瑪家鄉公所
376537880J,屏東縣瑪家鄉立托兒所
376537900A,屏東縣泰武鄉公所
376537921E,屏東縣泰武鄉立中正圖書館
376537980J,屏東縣泰武鄉立托兒所
376538000A,屏東縣來義鄉公所
376538080J,屏東縣來義鄉立托兒所
376538100A,屏東縣春日鄉公所
376538180J,屏東縣春日鄉立托兒所
376538200A,屏東縣獅子鄉公所
376538280J,屏東縣獅子鄉立托兒所
376538300A,屏東縣牡丹鄉公所
376538321E,屏東縣牡丹鄉立中正圖書館
376538380J,屏東縣牡丹鄉立托兒所
376538400A,屏東縣三地門鄉公所
376538480J,屏東縣三地門鄉立托兒所
376540000A,臺東縣政府
376540200C,臺東縣警察局
376540241C,臺東縣警察局刑事警察大隊
376540251C,臺東縣警察局保安警察隊
376540253C,臺東縣警察局交通警察隊
376540255C,臺東縣警察局少年警察隊
376540257C,臺東縣警察局婦幼警察隊
376540261C,臺東縣警察局臺東分局
376540262C,臺東縣警察局成功分局
376540263C,臺東縣警察局關山分局
376540264C,臺東縣警察局大武分局
376540296C,臺東縣警察局民防管制中心
376540300I,臺東縣衛生局
376540303I,臺東縣慢性病防治所
376540305I,臺東縣環境保護局
376540341I,臺東縣臺東市衛生所
376540342I,臺東縣成功鎮衛生所
376540343I,臺東縣關山鎮衛生所
376540344I,臺東縣卑南鄉衛生所
376540345I,臺東縣大武鄉衛生所
376540346I,臺東縣太麻里鄉衛生所
376540347I,臺東縣東河鄉衛生所
376540348I,臺東縣長濱鄉衛生所
376540349I,臺東縣鹿野鄉衛生所
376540350I,臺東縣池上鄉衛生所
376540351I,臺東縣綠島鄉衛生所
376540352I,臺東縣延平鄉衛生所
376540353I,臺東縣海端鄉衛生所
376540354I,臺東縣達仁鄉衛生所
376540355I,臺東縣金峰鄉衛生所
376540356I,臺東縣蘭嶼鄉衛生所
376540400A,臺東縣臺東地政事務所
376540500A,臺東縣成功地政事務所
376540600A,臺東縣關山地政事務所
376540700A,臺東縣太麻里地政事務所
376541300D,臺東縣稅務局
376541502A,臺東縣卑南鄉戶政事務所
376541503A,臺東縣綠島鄉戶政事務所
376541504A,臺東縣蘭嶼鄉戶政事務所
376541506A,臺東縣池上鄉戶政事務所
376541507A,臺東縣鹿野鄉戶政事務所
376541508A,臺東縣海端鄉戶政事務所
376541509A,臺東縣延平鄉戶政事務所
376541511A,臺東縣東河鄉戶政事務所
376541512A,臺東縣長濱鄉戶政事務所
376541513A,臺東縣大武鄉戶政事務所
376541515A,臺東縣金峰鄉戶政事務所
376541516A,臺東縣達仁鄉戶政事務所
376541521A,臺東縣臺東戶政事務所
376541522A,臺東縣關山戶政事務所
376541523A,臺東縣成功戶政事務所
376541524A,臺東縣太麻里戶政事務所
376542000C,臺東縣消防局
376542300E,臺東縣立體育場
376542500J,臺東縣立托兒所
376542600I,臺東縣動物防疫所
376542700E,臺東縣家庭教育中心
376545100A,臺東縣臺東市公所
376545106A,臺東縣臺東市公有零售市場管理所
376545111I,臺東縣臺東市清潔隊
376545151J,臺東縣臺東市殯葬管理所
376545180J,臺東縣臺東市立托兒所
376545200A,臺東縣成功鎮公所
376545205A,臺東縣成功鎮第一公有零售市場
376545211I,臺東縣成功鎮清潔隊
376545280J,臺東縣成功鎮立托兒所
376545300A,臺東縣關山鎮公所
376545305A,臺東縣關山鎮第一公有零售市場
376545311I,臺東縣關山鎮清潔隊
376545321E,臺東縣關山鎮立圖書館
376545380J,臺東縣關山鎮立托兒所
376545391G,臺東縣關山鎮公園管理所
376545400A,臺東縣卑南鄉公所
376545411I,臺東縣卑南鄉清潔隊
376545421E,臺東縣卑南鄉立圖書館
376545480J,臺東縣卑南鄉立托兒所
376545500A,臺東縣大武鄉公所
376545580J,臺東縣大武鄉立托兒所
376545600A,臺東縣太麻里鄉公所
376545611I,臺東縣太麻里鄉清潔隊
376545680J,臺東縣太麻里鄉立托兒所
376545700A,臺東縣東河鄉公所
376545780J,臺東縣東河鄉立托兒所
376545800A,臺東縣長濱鄉公所
376545880J,臺東縣長濱鄉立托兒所
376545900A,臺東縣鹿野鄉公所
376545980J,臺東縣鹿野鄉立托兒所
376546000A,臺東縣池上鄉公所
376546005A,臺東縣池上鄉第一公有零售市場
376546011I,臺東縣池上鄉清潔隊
376546021E,臺東縣池上鄉立圖書館
376546080J,臺東縣池上鄉立托兒所
376546100A,臺東縣綠島鄉公所
376546180J,臺東縣綠島鄉立托兒所
376546200A,臺東縣延平鄉公所
376546211I,臺東縣延平鄉清潔隊
376546221E,臺東縣延平鄉立中正圖書館
376546280J,臺東縣延平鄉立托兒所
376546300A,臺東縣海端鄉公所
376546311I,臺東縣海端鄉清潔隊
376546380J,臺東縣海端鄉立托兒所
376546400A,臺東縣達仁鄉公所
376546421E,臺東縣達仁鄉立圖書館
376546480J,臺東縣達仁鄉立托兒所
376546500A,臺東縣金峰鄉公所
376546511I,臺東縣金峰鄉清潔隊
376546521E,臺東縣金峰鄉立圖書
376546580J,臺東縣金峰鄉立托兒所
376546600A,臺東縣蘭嶼鄉公所
376546680J,臺東縣蘭嶼鄉立托兒所
376550000A,花蓮縣政府
376550200C,花蓮縣警察局
376550241C,花蓮縣警察局刑事警察大隊
376550251C,花蓮縣警察局保安警察隊
376550253C,花蓮縣警察局交通警察隊
376550255C,花蓮縣警察局少年警察隊
376550257C,花蓮縣警察局婦幼警察隊
376550261C,花蓮縣警察局花蓮分局
376550262C,花蓮縣警察局鳳林分局
376550263C,花蓮縣警察局玉里分局
376550264C,花蓮縣警察局新城分局
376550265C,花蓮縣警察局吉安分局
376550296C,花蓮縣警察局民防管制中心
376550300I,花蓮縣衛生局
376550303I,花蓮縣慢性病防治所
376550305I,花蓮縣環境保護局
376550341I,花蓮縣花蓮市衛生所
376550342I,花蓮縣鳳林鎮衛生所
376550343I,花蓮縣玉里鎮衛生所
376550344I,花蓮縣新城鄉衛生所
376550345I,花蓮縣吉安鄉衛生所
376550346I,花蓮縣壽豐鄉衛生所
376550347I,花蓮縣光復鄉衛生所
376550348I,花蓮縣豐濱鄉衛生所
376550349I,花蓮縣瑞穗鄉衛生所
376550350I,花蓮縣富里鄉衛生所
376550351I,花蓮縣秀林鄉衛生所
376550352I,花蓮縣卓溪鄉衛生所
376550353I,花蓮縣萬榮鄉衛生所
376550400A,花蓮縣花蓮地政事務所
376550500A,花蓮縣鳳林地政事務所
376550600A,花蓮縣玉里地政事務所
376551300D,花蓮縣地方稅務局
376551501A,花蓮縣花蓮市戶政事務所
376551502A,花蓮縣吉安鄉戶政事務所
376551503A,花蓮縣壽豐鄉戶政事務所
376551504A,花蓮縣新城鄉戶政事務所
376551505A,花蓮縣秀林鄉戶政事務所
376551506A,花蓮縣鳳林鎮戶政事務所
376551507A,花蓮縣萬榮鄉戶政事務所
376551508A,花蓮縣光復鄉戶政事務所
376551509A,花蓮縣瑞穗鄉戶政事務所
376551510A,花蓮縣豐濱鄉戶政事務所
376551511A,花蓮縣玉里鎮戶政事務所
376551512A,花蓮縣卓溪鄉戶政事務所
376551513A,花蓮縣富里鄉戶政事務所
376552000C,花蓮縣消防局
376552800E,花蓮縣文化局
376552900A,花蓮縣水產培育所
376553100E,花蓮縣立體育場
376553300E,花蓮縣家庭教育中心
376553500I,花蓮縣動植物防疫所
376555100A,花蓮縣花蓮市公所
376555111I,花蓮縣花蓮市清潔隊
376555121E,花蓮縣花蓮市立圖書館
376555180J,花蓮縣花蓮市立托兒所
376555190G,花蓮縣花蓮市工程隊
376555200A,花蓮縣鳳林鎮公所
376555280J,花蓮縣鳳林鎮立托兒所
376555300A,花蓮縣玉里鎮公所
376555306A,花蓮縣玉里鎮公有零售市場管理所
376555321E,花蓮縣玉里鎮立圖書館
376555400A,花蓮縣新城鄉公所
376555421E,花蓮縣新城鄉立圖書館
376555480J,花蓮縣新城鄉立托兒所
376555500A,花蓮縣吉安鄉公所
376555511I,花蓮縣吉安鄉清潔隊
376555521E,花蓮縣吉安鄉立圖書館
376555580J,花蓮縣吉安鄉立托兒所
376555600A,花蓮縣壽豐鄉公所
376555680J,花蓮縣壽豐鄉立托兒所
376555700A,花蓮縣光復鄉公所
376555721E,花蓮縣光復鄉立中正圖書館
376555780J,花蓮縣光復鄉立托兒所
376555800A,花蓮縣豐濱鄉公所
376555880J,花蓮縣豐濱鄉立托兒所
376555900A,花蓮縣瑞穗鄉公所
376555951J,花蓮縣瑞穗鄉殯葬暨公共造產管理所
376555980J,花蓮縣瑞穗鄉立托兒所
376556000A,花蓮縣富里鄉公所
376556021E,花蓮縣富里鄉立圖書館
376556080J,花蓮縣富里鄉立托兒所
376556100A,花蓮縣秀林鄉公所
376556121E,花蓮縣秀林鄉立中正圖書館
376556180J,花蓮縣秀林鄉立托兒所
376556200A,花蓮縣卓溪鄉公所
376556280J,花蓮縣卓溪鄉立托兒所
376556300A,花蓮縣萬榮鄉公所
376556380J,花蓮縣萬榮鄉立托兒所
376560000A,澎湖縣政府
376560302I,澎湖縣立慢性病防治所
376560303I,澎湖縣政府衛生局
376560306I,澎湖縣政府環境保護局
376560342I,澎湖縣湖西鄉衛生所
376560343I,澎湖縣白沙鄉衛生所
376560344I,澎湖縣西嶼鄉衛生所
376560345I,澎湖縣望安鄉衛生所
376560346I,澎湖縣七美鄉衛生所
376560347I,澎湖縣馬公市第一衛生所
376560348I,澎湖縣馬公市第二衛生所
376560400A,澎湖縣澎湖地政事務所
376561300D,澎湖縣政府稅務局
376561501A,澎湖縣馬公市戶政事務所
376561502A,澎湖縣湖西鄉戶政事務所
376561503A,澎湖縣白沙鄉戶政事務所
376561504A,澎湖縣西嶼鄉戶政事務所
376561505A,澎湖縣望安鄉戶政事務所
376561506A,澎湖縣七美鄉戶政事務所
376561800C,澎湖縣政府警察局
376561801C,澎湖縣政府警察局保安警察隊
376561803C,澎湖縣政府警察局交通警察隊
376561804C,澎湖縣政府警察局少年警察隊
376561805C,澎湖縣政府警察局婦幼警察隊
376561806C,澎湖縣政府警察局民防管制中心
376561807C,澎湖縣政府警察局馬公分局
376561808C,澎湖縣政府警察局白沙分局
376561809C,澎湖縣政府警察局望安分局
376561841C,澎湖縣政府警察局刑事警察大隊
376561900C,澎湖縣政府消防局
376562200I,澎湖縣家畜疾病防治所
376562300E,澎湖縣立體育場
376562400A,澎湖縣水產種苗繁殖場
376562700E,澎湖縣家庭教育中心
376562800E,澎湖縣政府文化局
376562900G,澎湖縣政府農漁局
376562901G,澎湖縣林務公園管理所
376565100A,澎湖縣馬公市公所
376565110A,澎湖縣馬公市公有零售市場管理所
376565111I,澎湖縣馬公市清潔隊
376565180J,澎湖縣馬公市立托兒所
376565200A,澎湖縣湖西鄉公所
376565211I,澎湖縣湖西鄉清潔隊
376565221E,澎湖縣湖西鄉立中正圖書館
376565280J,澎湖縣湖西鄉立托兒所
376565300A,澎湖縣白沙鄉公所
376565311I,澎湖縣白沙鄉清潔隊
376565380J,澎湖縣白沙鄉立托兒所
376565400A,澎湖縣西嶼鄉公所
376565411I,澎湖縣西嶼鄉清潔隊
376565421E,澎湖縣西嶼鄉立圖書館
376565480J,澎湖縣西嶼鄉立托兒所
376565500A,澎湖縣望安鄉公所
376565580J,澎湖縣望安鄉立托兒所
376565600A,澎湖縣七美鄉公所
376570000A,基隆市政府
376570080J,基隆市立托兒所
376570200C,基隆市警察局
376570241C,基隆市警察局刑事警察大隊
376570251C,基隆市警察局保安警察隊
376570253C,基隆市警察局交通警察隊
376570255C,基隆市警察局少年警察隊
376570257C,基隆市警察局婦幼警察隊
376570261C,基隆市警察局第一分局
376570262C,基隆市警察局第二分局
376570263C,基隆市警察局第三分局
376570264C,基隆市警察局第四分局
376570296C,基隆市警察局民防管制中心
376570300I,基隆市衛生局
376570302I,基隆市慢性病防治所
376570305I,基隆市環境保護局
376570311P,基隆市立醫院
376570341I,基隆市中正區衛生所
376570342I,基隆市七堵區衛生所
376570343I,基隆市暖暖區衛生所
376570344I,基隆市仁愛區衛生所
376570345I,基隆市中山區衛生所
376570346I,基隆市安樂區衛生所
376570347I,基隆市信義區衛生所
376570500A,基隆市信義地政事務所
376570600A,基隆市安樂地政事務所
376571400D,基隆市稅務局
376571501A,基隆市仁愛區戶政事務所
376571502A,基隆市中正區戶政事務所
376571503A,基隆市信義區戶政事務所
376571504A,基隆市七堵區戶政事務所
376571505A,基隆市暖暖區戶政事務所
376571506A,基隆市中山區戶政事務所
376571507A,基隆市安樂區戶政事務所
376572000C,基隆市消防局
376572400E,基隆市立體育場
376572500J,基隆市立仁愛之家
376572800J,基隆市立殯葬管理所
376572900E,基隆市文化局
376573000E,基隆市家庭教育中心
376573105A,基隆市七堵公有零售市場
376573107A,基隆市富貴公有零售市場
376573108A,基隆市仁愛公有零售市場
376573110A,基隆市信義公有零售市場
376573114A,基隆市博愛公有零售市場
376573115A,基隆市西定公有零售市場
376573116A,基隆市成功公有零售市場
376573117A,基隆市百福公有零售市場
376574100M,基隆市公共汽車管理處
376578100A,基隆市中山區公所
376578200A,基隆市七堵區公所
376578300A,基隆市暖暖區公所
376578400A,基隆市仁愛區公所
376578500A,基隆市中正區公所
376578600A,基隆市安樂區公所
376578700A,基隆市信義區公所
376580000A,新竹市政府
376580082J,新竹市立托兒所
376580200C,新竹市警察局
376580241C,新竹市警察局刑事警察大隊
376580251C,新竹市警察局保安警察隊
376580253C,新竹市警察局交通警察隊
376580255C,新竹市警察局少年警察隊
376580257C,新竹市警察局婦幼警察隊
376580261C,新竹市警察局第一分局
376580262C,新竹市警察局第二分局
376580263C,新竹市警察局第三分局
376580296C,新竹市警察局民防管制中心
376580300I,新竹市衛生局
376580305I,新竹市環境保護局
376580341I,新竹市香山衛生所
376580342I,新竹市東區衛生所
376580343I,新竹市北區衛生所
376580400A,新竹市地政事務所
376581300D,新竹市稅務局
376581503A,新竹市東區戶政事務所
376581504A,新竹市北區戶政事務所
376581505A,新竹市香山戶政事務所
376582000C,新竹市消防局
376582400E,新竹市立動物園
376582500E,新竹市立體育場
376582600J,新竹市殯葬管理所
376583105A,新竹市東門公有零售市場
376583106A,新竹市中央公有零售市場
376583107A,新竹市南門公有零售市場
376583108A,新竹市北門公有零售市場
376583109A,新竹市關東公有零售市場
376583110A,新竹市士林公有零售市場
376583111A,新竹市東園公有零售市場
376583200E,新竹市文化局
376583300E,新竹市家庭教育中心
376588100A,新竹市東區區公所
376588200A,新竹市北區區公所
376588300A,新竹市香山區公所
376600000A,嘉義市政府
376600304I,嘉義市政府衛生局
376600306I,嘉義市政府環境保護局
376600342I,嘉義市東區衛生所
376600343I,嘉義市西區衛生所
376600400A,嘉義市地政事務所
376601300D,嘉義市政府稅務局
376601501A,嘉義市東區戶政事務所
376601502A,嘉義市西區戶政事務所
376601800C,嘉義市政府警察局
376601811C,嘉義市政府警察局第一分局
376601900C,嘉義市政府消防局
376602500E,嘉義市立體育場
376602700E,嘉義市政府文化局
376602800J,嘉義市殯葬管理所
376603105A,嘉義市東公有零售市場
376603107A,嘉義市北興公有零售市場
376603108A,嘉義市興嘉公有零售市場
376608100A,嘉義市東區區公所
376608200A,嘉義市西區區公所
376710100A,臺北縣板橋市民代表會
376710200A,臺北縣三重市民代表會
376710300A,臺北縣永和市民代表會
376710400A,臺北縣中和市民代表會
376710500A,臺北縣新莊市民代表會
376710600A,臺北縣新店市民代表會
376710800A,臺北縣鶯歌鎮民代表會
376710900A,臺北縣三峽鎮民代表會
376711000A,臺北縣淡水鎮民代表會
376711500A,臺北縣五股鄉民代表會
376711600A,臺北縣泰山鄉民代表會
376711700A,臺北縣林口鄉民代表會
376711800A,臺北縣深坑鄉民代表會
376711900A,臺北縣石碇鄉民代表會
376712000A,臺北縣坪林鄉民代表會
376712100A,臺北縣三芝鄉民代表會
376712200A,臺北縣石門鄉民代表會
376712300A,臺北縣八里鄉民代表會
376712400A,臺北縣平溪鄉民代表會
376712500A,臺北縣雙溪鄉民代表會
376712600A,臺北縣貢寮鄉民代表會
376712700A,臺北縣金山鄉民代表會
376712800A,臺北縣萬里鄉民代表會
376712900A,臺北縣烏來鄉民代表會
376713000A,臺北縣土城市民代表會
376713100A,臺北縣蘆洲市民代表會
376713200A,臺北縣汐止市民代表會
376713300A,臺北縣樹林市民代表會
376720000A,宜蘭縣議會
376720100A,宜蘭縣宜蘭市民代表會
376720200A,宜蘭縣羅東鎮民代表會
376720300A,宜蘭縣蘇澳鎮民代表會
376720400A,宜蘭縣頭城鎮民代表會
376720500A,宜蘭縣礁溪鄉民代表會
376720600A,宜蘭縣壯圍鄉民代表會
376720700A,宜蘭縣員山鄉民代表會
376720800A,宜蘭縣冬山鄉民代表會
376720900A,宜蘭縣五結鄉民代表會
376721000A,宜蘭縣三星鄉民代表會
376721100A,宜蘭縣大同鄉民代表會
376721200A,宜蘭縣南澳鄉民代表會
376730000A,桃園縣議會
376730100A,桃園縣桃園市民代表會
376730200A,桃園縣中壢市民代表會
376730300A,桃園縣大溪鎮民代表會
376730500A,桃園縣蘆竹鄉民代表會
376730600A,桃園縣大園鄉民代表會
376730700A,桃園縣龜山鄉民代表會
376730900A,桃園縣龍潭鄉民代表會
376731100A,桃園縣新屋鄉民代表會
376731200A,桃園縣觀音鄉民代表會
376731300A,桃園縣復興鄉民代表會
376731400A,桃園縣平鎮市民代表會
376731500A,桃園縣八德市民代表會
376731600A,桃園縣楊梅市民代表會
376735000A,桃園縣政府民政局
376735001E,桃園縣政府孔廟忠烈祠聯合管理所
376735100E,桃園縣政府教育局
376735101E,桃園縣政府體育處
376735102E,桃園縣政府家庭教育中心
376735200J,桃園縣政府社會局
376735201J,桃園縣政府家庭暴力暨性侵害防治中心
376735300J,桃園縣政府勞動及人力資源局
376735400D,桃園縣政府財政局
376735500G,桃園縣政府工商發展局
376735600G,桃園縣政府農業發展局
376735601I,桃園縣政府動物防疫所
376735700A,桃園縣政府地政局
376735800G,桃園縣政府城鄉發展局
376735900G,桃園縣政府工務局
376736000G,桃園縣政府水務局
376736100A,桃園縣政府原住民行政局
376736200H,桃園縣政府交通局
376736300H,桃園縣政府觀光行銷局
376736301H,桃園縣政府風景區管理所
376736400E,桃園縣政府文化局
376736401E,桃園縣政府藝文設施管理中心
376736500A,桃園縣政府客家事務局
376736600A,桃園縣政府秘書處
376736700A,桃園縣政府法制處
376736800A,桃園縣政府人事處
376736900A,桃園縣政府主計處
376737000A,桃園縣政府政風處
376737100A,桃園縣政府研究發展考核委員會
376737101A,桃園縣政府資訊中心
376740000A,新竹縣議會
376740200A,新竹縣關西鎮民代表會
376740300A,新竹縣新埔鎮民代表會
376740400A,新竹縣竹東鎮民代表會
376740500A,新竹縣湖口鄉民代表會
376740600A,新竹縣橫山鄉民代表會
376740700A,新竹縣新豐鄉民代表會
376740800A,新竹縣芎林鄉民代表會
376740900A,新竹縣寶山鄉民代表會
376741000A,新竹縣北埔鄉民代表會
376741100A,新竹縣峨眉鄉民代表會
376741200A,新竹縣尖石鄉民代表會
376741300A,新竹縣五峰鄉民代表會
376741400A,新竹縣竹北市民代表會
376750000A,苗栗縣議會
376750100A,苗栗縣苗栗市民代表會
